Year,Jurisdiction,Stream,Management,Fate,Tonnes
2020,ACT,C&I,Landfill,Disposal,9013.0
2020,ACT,C&I,Landfill,Energy recovery,8411.0
2020,ACT,C&I,Recycling,Recycling,415.0
2020,ACT,MSW,Landfill,Disposal,20354.0
2020,ACT,MSW,Landfill,Energy recovery,18993.0
2020,ACT,Total,Landfill,Disposal,29367.0
2020,ACT,Total,Landfill,Energy recovery,27404.0
2020,ACT,Total,Recycling,Recycling,415.0
2020,NSW,C&D,Landfill,Disposal,40.0
2020,NSW,C&D,Landfill,Energy recovery,14.0
2020,NSW,C&I,Anaerobic digestion,Recycling,25259.0
2020,NSW,C&I,Landfill,Disposal,152258.0
2020,NSW,C&I,Landfill,Energy recovery,52628.0
2020,NSW,C&I,Recycling,Recycling,71919.0
2020,NSW,MSW,Landfill,Disposal,589374.0
2020,NSW,MSW,Landfill,Energy recovery,203719.0
2020,NSW,MSW,Recycling,Recycling,481356.0
2020,NSW,Total,Anaerobic digestion,Recycling,25259.0
2020,NSW,Total,Landfill,Disposal,741672.0
2020,NSW,Total,Landfill,Energy recovery,256361.0
2020,NSW,Total,Recycling,Recycling,553275.0
2020,NT,C&I,Landfill,Disposal,27452.0
2020,NT,C&I,Landfill,Energy recovery,599.0
2020,NT,MSW,Landfill,Disposal,38924.0
2020,NT,MSW,Landfill,Energy recovery,849.0
2020,NT,Total,Landfill,Disposal,66376.0
2020,NT,Total,Landfill,Energy recovery,1448.0
2020,Qld,C&I,Landfill,Disposal,247177.0
2020,Qld,C&I,Landfill,Energy recovery,100345.0
2020,Qld,C&I,Recycling,Recycling,25718.0
2020,Qld,MSW,Landfill,Disposal,448430.0
2020,Qld,MSW,Landfill,Energy recovery,182047.0
2020,Qld,Total,Landfill,Disposal,695606.0
2020,Qld,Total,Landfill,Energy recovery,282392.0
2020,Qld,Total,Recycling,Recycling,25718.0
2020,SA,C&I,Landfill,Disposal,21301.0
2020,SA,C&I,Landfill,Energy recovery,7110.0
2020,SA,C&I,Recycling,Recycling,15823.0
2020,SA,C&I,Waste reuse,Waste reuse,4712.0
2020,SA,MSW,Landfill,Disposal,112331.0
2020,SA,MSW,Landfill,Energy recovery,37494.0
2020,SA,Total,Landfill,Disposal,133632.0
2020,SA,Total,Landfill,Energy recovery,44604.0
2020,SA,Total,Recycling,Recycling,15823.0
2020,SA,Total,Waste reuse,Waste reuse,4712.0
2020,Vic,C&D,Landfill,Disposal,2187.0
2020,Vic,C&D,Landfill,Energy recovery,1201.0
2020,Vic,C&D,Recycling,Recycling,105.0
2020,Vic,C&I,Anaerobic digestion,Recycling,31322.0
2020,Vic,C&I,Landfill,Disposal,210259.0
2020,Vic,C&I,Landfill,Energy recovery,115401.0
2020,Vic,C&I,Recycling,Recycling,24448.0
2020,Vic,MSW,Landfill,Disposal,399865.0
2020,Vic,MSW,Landfill,Energy recovery,219466.0
2020,Vic,MSW,Recycling,Recycling,17915.0
2020,Vic,Total,Anaerobic digestion,Recycling,31322.0
2020,Vic,Total,Landfill,Disposal,612311.0
2020,Vic,Total,Landfill,Energy recovery,336068.0
2020,Vic,Total,Recycling,Recycling,42468.0
2020,WA,C&I,Anaerobic digestion,Recycling,18157.0
2020,WA,C&I,Energy from waste facility,Energy recovery,18157.0
2020,WA,C&I,Landfill,Disposal,166753.0
2020,WA,C&I,Landfill,Energy recovery,28574.0
2020,WA,C&I,Recycling,Recycling,13578.0
2020,WA,MSW,Landfill,Disposal,324906.0
2020,WA,MSW,Landfill,Energy recovery,55674.0
2020,WA,MSW,Recycling,Recycling,24347.0
2020,WA,Total,Anaerobic digestion,Recycling,18157.0
2020,WA,Total,Energy from waste facility,Energy recovery,18157.0
2020,WA,Total,Landfill,Disposal,491659.0
2020,WA,Total,Landfill,Energy recovery,84248.0
2020,WA,Total,Recycling,Recycling,37925.0
2019,ACT,C&I,Landfill,Disposal,10880.0
2019,ACT,C&I,Landfill,Energy recovery,5140.0
2019,ACT,C&I,Recycling,Recycling,1718.0
2019,ACT,MSW,Landfill,Disposal,24220.0
2019,ACT,MSW,Landfill,Energy recovery,11441.0
2019,ACT,Total,Landfill,Disposal,35100.0
2019,ACT,Total,Landfill,Energy recovery,16580.0
2019,ACT,Total,Recycling,Recycling,1718.0
2019,NSW,C&I,Anaerobic digestion,Recycling,47779.0
2019,NSW,C&I,Landfill,Disposal,141908.0
2019,NSW,C&I,Landfill,Energy recovery,57612.0
2019,NSW,C&I,Recycling,Recycling,49479.0
2019,NSW,MSW,Landfill,Disposal,502410.0
2019,NSW,MSW,Landfill,Energy recovery,203968.0
2019,NSW,MSW,Recycling,Recycling,398762.0
2019,NSW,Total,Anaerobic digestion,Recycling,47779.0
2019,NSW,Total,Landfill,Disposal,644317.0
2019,NSW,Total,Landfill,Energy recovery,261580.0
2019,NSW,Total,Recycling,Recycling,448241.0
2019,NT,C&I,Landfill,Disposal,25501.0
2019,NT,C&I,Landfill,Energy recovery,109.0
2019,NT,MSW,Landfill,Disposal,39677.0
2019,NT,MSW,Landfill,Energy recovery,170.0
2019,NT,Total,Landfill,Disposal,65178.0
2019,NT,Total,Landfill,Energy recovery,280.0
2019,Qld,C&I,Landfill,Disposal,222987.0
2019,Qld,C&I,Landfill,Energy recovery,93479.0
2019,Qld,C&I,Recycling,Recycling,62148.0
2019,Qld,MSW,Landfill,Disposal,419128.0
2019,Qld,MSW,Landfill,Energy recovery,175703.0
2019,Qld,Total,Landfill,Disposal,642115.0
2019,Qld,Total,Landfill,Energy recovery,269181.0
2019,Qld,Total,Recycling,Recycling,62148.0
2019,SA,C&I,Landfill,Disposal,19891.0
2019,SA,C&I,Landfill,Energy recovery,8392.0
2019,SA,C&I,Recycling,Recycling,13400.0
2019,SA,C&I,Waste reuse,Waste reuse,4200.0
2019,SA,MSW,Landfill,Disposal,110029.0
2019,SA,MSW,Landfill,Energy recovery,46423.0
2019,SA,Total,Landfill,Disposal,129920.0
2019,SA,Total,Landfill,Energy recovery,54816.0
2019,SA,Total,Recycling,Recycling,13400.0
2019,Vic,C&D,Landfill,Disposal,1932.0
2019,Vic,C&D,Landfill,Energy recovery,1209.0
2019,Vic,C&D,Recycling,Recycling,104.0
2019,Vic,C&I,Anaerobic digestion,Recycling,30687.0
2019,Vic,C&I,Landfill,Disposal,196216.0
2019,Vic,C&I,Landfill,Energy recovery,122853.0
2019,Vic,C&I,Recycling,Recycling,23950.0
2019,Vic,MSW,Landfill,Disposal,396946.0
2019,Vic,MSW,Landfill,Energy recovery,248532.0
2019,Vic,MSW,Recycling,Recycling,16764.0
2019,Vic,Total,Anaerobic digestion,Recycling,30687.0
2019,Vic,Total,Landfill,Disposal,595094.0
2019,Vic,Total,Landfill,Energy recovery,372595.0
2019,Vic,Total,Recycling,Recycling,40818.0
2019,WA,C&I,Anaerobic digestion,Recycling,15212.0
2019,WA,C&I,Landfill,Disposal,152236.0
2019,WA,C&I,Landfill,Energy recovery,31761.0
2019,WA,C&I,Recycling,Recycling,9861.0
2019,WA,MSW,Anaerobic digestion,Recycling,167.0
2019,WA,MSW,Landfill,Disposal,292299.0
2019,WA,MSW,Landfill,Energy recovery,60983.0
2019,WA,MSW,Recycling,Recycling,29624.0
2019,WA,Total,Anaerobic digestion,Recycling,15379.0
2019,WA,Total,Landfill,Disposal,444535.0
2019,WA,Total,Landfill,Energy recovery,92744.0
2019,WA,Total,Recycling,Recycling,39485.0
2018,ACT,C&I,Landfill,Disposal,9335.0
2018,ACT,C&I,Landfill,Energy recovery,7100.0
2018,ACT,MSW,Landfill,Disposal,20402.0
2018,ACT,MSW,Landfill,Energy recovery,15518.0
2018,ACT,Total,Landfill,Disposal,29737.0
2018,ACT,Total,Landfill,Energy recovery,22618.0
2018,NSW,C&D,Landfill,Disposal,1.0
2018,NSW,C&I,Anaerobic digestion,Recycling,43968.0
2018,NSW,C&I,Landfill,Disposal,139664.0
2018,NSW,C&I,Landfill,Energy recovery,48315.0
2018,NSW,C&I,Recycling,Recycling,6892.0
2018,NSW,MSW,Landfill,Disposal,495375.0
2018,NSW,MSW,Landfill,Energy recovery,171369.0
2018,NSW,MSW,Recycling,Recycling,376398.0
2018,NSW,Total,Anaerobic digestion,Recycling,43968.0
2018,NSW,Total,Energy from waste facility,Energy recovery,43968.0
2018,NSW,Total,Landfill,Disposal,635040.0
2018,NSW,Total,Landfill,Energy recovery,219684.0
2018,NSW,Total,Recycling,Recycling,339322.0
2018,NT,C&I,Landfill,Disposal,8329.0
2018,NT,C&I,Landfill,Energy recovery,1378.0
2018,NT,MSW,Landfill,Disposal,41647.0
2018,NT,MSW,Landfill,Energy recovery,6888.0
2018,NT,Total,Landfill,Disposal,49976.0
2018,NT,Total,Landfill,Energy recovery,8265.0
2018,Qld,C&I,Landfill,Disposal,253328.0
2018,Qld,C&I,Landfill,Energy recovery,88536.0
2018,Qld,C&I,Recycling,Recycling,49327.0
2018,Qld,MSW,Landfill,Disposal,460804.0
2018,Qld,MSW,Landfill,Energy recovery,161047.0
2018,Qld,Total,Landfill,Disposal,714132.0
2018,Qld,Total,Landfill,Energy recovery,249583.0
2018,Qld,Total,Recycling,Recycling,49327.0
2018,SA,C&I,Landfill,Disposal,24156.0
2018,SA,C&I,Landfill,Energy recovery,11576.0
2018,SA,C&I,Recycling,Recycling,12286.0
2018,SA,MSW,Landfill,Disposal,105927.0
2018,SA,MSW,Landfill,Energy recovery,50764.0
2018,SA,Total,Landfill,Disposal,130082.0
2018,SA,Total,Landfill,Energy recovery,62340.0
2018,SA,Total,Recycling,Recycling,12286.0
2018,Vic,C&D,Landfill,Disposal,2095.0
2018,Vic,C&D,Landfill,Energy recovery,907.0
2018,Vic,C&D,Recycling,Recycling,1473.0
2018,Vic,C&I,Anaerobic digestion,Recycling,31379.0
2018,Vic,C&I,Landfill,Disposal,215725.0
2018,Vic,C&I,Landfill,Energy recovery,93426.0
2018,Vic,C&I,Recycling,Recycling,42223.0
2018,Vic,MSW,Landfill,Disposal,493515.0
2018,Vic,MSW,Landfill,Energy recovery,213732.0
2018,Vic,MSW,Recycling,Recycling,46465.0
2018,Vic,Total,Anaerobic digestion,Recycling,31379.0
2018,Vic,Total,Energy from waste facility,Energy recovery,31379.0
2018,Vic,Total,Landfill,Disposal,711335.0
2018,Vic,Total,Landfill,Energy recovery,308065.0
2018,Vic,Total,Recycling,Recycling,58782.0
2018,WA,C&I,Landfill,Disposal,133522.0
2018,WA,C&I,Landfill,Energy recovery,23605.0
2018,WA,C&I,Recycling,Recycling,26972.0
2018,WA,MSW,Landfill,Disposal,295055.0
2018,WA,MSW,Landfill,Energy recovery,52161.0
2018,WA,MSW,Recycling,Recycling,47948.0
2018,WA,Total,Landfill,Disposal,428577.0
2018,WA,Total,Landfill,Energy recovery,75765.0
2018,WA,Total,Recycling,Recycling,74920.0
2017,ACT,C&I,Landfill,Disposal,10139.0
2017,ACT,C&I,Landfill,Energy recovery,8521.0
2017,ACT,MSW,Landfill,Disposal,19351.0
2017,ACT,MSW,Landfill,Energy recovery,16262.0
2017,ACT,Total,Landfill,Disposal,29491.0
2017,ACT,Total,Landfill,Energy recovery,24783.0
2017,NSW,C&D,Landfill,Disposal,169.0
2017,NSW,C&D,Landfill,Energy recovery,69.0
2017,NSW,C&I,Anaerobic digestion,Recycling,43968.0
2017,NSW,C&I,Landfill,Disposal,125822.0
2017,NSW,C&I,Landfill,Energy recovery,51036.0
2017,NSW,C&I,Recycling,Recycling,46925.0
2017,NSW,MSW,Landfill,Disposal,528481.0
2017,NSW,MSW,Landfill,Energy recovery,214364.0
2017,NSW,MSW,Recycling,Recycling,347808.0
2017,NSW,Total,Anaerobic digestion,Recycling,43968.0
2017,NSW,Total,Energy from waste facility,Energy recovery,43968.0
2017,NSW,Total,Landfill,Disposal,654472.0
2017,NSW,Total,Landfill,Energy recovery,265469.0
2017,NSW,Total,Recycling,Recycling,350766.0
2017,NT,C&I,Landfill,Disposal,8317.0
2017,NT,C&I,Landfill,Energy recovery,1304.0
2017,NT,MSW,Landfill,Disposal,41585.0
2017,NT,MSW,Landfill,Energy recovery,6521.0
2017,NT,Total,Landfill,Disposal,49902.0
2017,NT,Total,Landfill,Energy recovery,7825.0
2017,Qld,C&I,Landfill,Disposal,258045.0
2017,Qld,C&I,Landfill,Energy recovery,68642.0
2017,Qld,C&I,Recycling,Recycling,66045.0
2017,Qld,MSW,Landfill,Disposal,489786.0
2017,Qld,MSW,Landfill,Energy recovery,130286.0
2017,Qld,Total,Landfill,Disposal,747832.0
2017,Qld,Total,Landfill,Energy recovery,198928.0
2017,Qld,Total,Recycling,Recycling,66045.0
2017,SA,C&I,Landfill,Disposal,38866.0
2017,SA,C&I,Landfill,Energy recovery,17237.0
2017,SA,C&I,Recycling,Recycling,9058.0
2017,SA,MSW,Landfill,Disposal,117753.0
2017,SA,MSW,Landfill,Energy recovery,52222.0
2017,SA,Total,Landfill,Disposal,156619.0
2017,SA,Total,Landfill,Energy recovery,69459.0
2017,SA,Total,Recycling,Recycling,9058.0
2017,Vic,C&D,Landfill,Disposal,1768.0
2017,Vic,C&D,Landfill,Energy recovery,1064.0
2017,Vic,C&D,Recycling,Recycling,582.0
2017,Vic,C&I,Anaerobic digestion,Recycling,18000.0
2017,Vic,C&I,Landfill,Disposal,182060.0
2017,Vic,C&I,Landfill,Energy recovery,109525.0
2017,Vic,C&I,Recycling,Recycling,42055.0
2017,Vic,MSW,Landfill,Disposal,451448.0
2017,Vic,MSW,Landfill,Energy recovery,271586.0
2017,Vic,MSW,Recycling,Recycling,9135.0
2017,Vic,Total,Anaerobic digestion,Recycling,18000.0
2017,Vic,Total,Energy from waste facility,Energy recovery,18000.0
2017,Vic,Total,Landfill,Disposal,635276.0
